############ 2018/11/1 9:11:43 系统启动 ############
通讯故障 2018/11/1 9:12:23 4#报警器 4#区域
通讯故障 2018/11/1 9:12:23 5#报警器 5#区域
通讯故障 2018/11/1 9:12:24 6#报警器 6#区域
通讯故障 2018/11/1 9:12:24 1#报警器 1#区域
报警打开 2018/11/1 9:13:37 2#报警器 2#区域
报警关闭 2018/11/1 9:13:38 2#报警器 2#区域
报警打开 2018/11/1 9:13:42 2#报警器 2#区域
报警关闭 2018/11/1 9:13:42 2#报警器 2#区域
报警打开 2018/11/1 9:13:46 2#报警器 2#区域
报警关闭 2018/11/1 9:13:47 2#报警器 2#区域
报警打开 2018/11/1 9:13:49 2#报警器 2#区域
报警关闭 2018/11/1 9:13:51 2#报警器 2#区域
报警打开 2018/11/1 9:13:52 2#报警器 2#区域
报警关闭 2018/11/1 9:13:53 2#报警器 2#区域
报警打开 2018/11/1 9:14:19 2#报警器 2#区域
报警关闭 2018/11/1 9:14:23 2#报警器 2#区域
报警打开 2018/11/1 9:14:32 2#报警器 2#区域
报警关闭 2018/11/1 9:14:35 2#报警器 2#区域
报警打开 2018/11/1 9:14:38 2#报警器 2#区域
报警关闭 2018/11/1 9:14:39 2#报警器 2#区域
报警打开 2018/11/1 9:14:47 2#报警器 2#区域
报警关闭 2018/11/1 9:14:48 2#报警器 2#区域
报警打开 2018/11/1 9:14:53 2#报警器 2#区域
报警关闭 2018/11/1 9:14:59 2#报警器 2#区域
报警打开 2018/11/1 9:15:06 2#报警器 2#区域
报警关闭 2018/11/1 9:15:08 2#报警器 2#区域
报警打开 2018/11/1 9:15:10 2#报警器 2#区域
报警关闭 2018/11/1 9:15:11 2#报警器 2#区域
报警打开 2018/11/1 9:15:58 2#报警器 2#区域
报警关闭 2018/11/1 9:16:00 2#报警器 2#区域
报警打开 2018/11/1 9:16:03 2#报警器 2#区域
报警关闭 2018/11/1 9:16:05 2#报警器 2#区域
报警打开 2018/11/1 9:16:10 2#报警器 2#区域
报警关闭 2018/11/1 9:16:12 2#报警器 2#区域
报警打开 2018/11/1 9:16:14 2#报警器 2#区域
报警关闭 2018/11/1 9:16:15 2#报警器 2#区域
报警关闭 2018/11/1 9:20:12 3#报警器 3#区域
--------------2018/11/1 9:21:43 系统关闭--------------
